declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,jersey_number,penalties,player,player_id,position,snap_counts_pass,snap_counts_pass_block,snap_counts_pass_route,snap_counts_run,snap_counts_run_block,snap_counts_total,snap_counts_total_pass,snap_counts_total_run,status
0,176,,55.3,70.6,,69.5,57.8,,55.9,86,0,Ryland Goede,98501,TE-R,0,1,2,0,5,8,3,5,P
1,167,,64.7,75.8,,39.5,,,68.0,75,1,Keiondre Jones,99072,RG,0,14,0,0,15,29,14,15,S
0,176,62.9,70.4,76.1,,,73.9,,45.5,07,0,Chase Lane,99205,RWR,0,0,12,0,17,29,12,17,S
0,167,,65.1,79.2,,72.9,,,61.7,53,0,Maurice Smith,99650,C,0,32,0,0,29,61,32,29,S
0,167,,65.9,76.8,,75.2,,,60.6,76,1,Darius Washington,99679,LT,0,32,0,0,30,62,32,30,S
0,167,,60.0,63.9,,,,,60.0,S88,0,Ryan Fitzgerald,99867,,0,0,0,0,1,1,0,1,
1,167,,56.1,6.5,,68.0,,,57.7,63,1,Jeremiah Byers,100806,RT,0,28,0,0,26,54,28,26,S
0,176,,62.9,76.8,,69.2,53.0,,70.6,85,0,Jackson Hawes,109374,TE-R,0,3,10,0,33,46,13,33,S
0,167,69.9,68.2,76.3,67.0,,,62.3,60.0,04,0,DJ Uiagalelei,122162,QB,32,0,0,3,26,61,32,29,S
0,167,65.0,78.9,73.9,,,78.2,,55.7,00,0,Ja'Khi Douglas,122397,SRWR,0,0,16,0,11,27,16,11,P
0,167,,60.0,63.8,,,,,60.0,S29,0,Alex Mastromanno,122406,,0,0,0,0,1,1,0,1,
0,167,61.0,67.5,73.8,,,66.9,,59.6,01,0,Kentron Poitier,122411,LWR,0,0,7,0,9,16,7,9,P
0,167,,55.8,69.6,,0.0,,,69.9,52,0,Robert Scott Jr.,122415,RT,0,4,0,0,4,8,4,4,P
0,167,72.2,66.3,75.5,,73.7,75.2,59.1,60.1,09,0,Lawrance Toafili,122421,HB,0,2,15,8,3,28,17,11,S
0,167,,55.1,73.9,,,55.4,,58.6,21,0,Darion Williamson,122425,RWR,0,0,9,0,9,18,9,9,P
0,176,61.0,71.0,69.3,,,80.3,,47.7,09,0,Avery Boyd,122469,TE-L,0,0,2,0,4,6,2,4,P
0,176,,80.3,75.7,,55.3,,,79.8,54,0,Jordan Williams,122503,RT,0,16,0,0,36,52,16,36,S
0,167,74.5,66.6,74.6,,15.7,78.7,66.2,60.0,24,0,Roydell Williams,123939,HB,0,4,11,13,3,31,15,16,S
0,176,73.7,71.5,75.7,63.2,,,69.2,60.0,10,0,Haynes King,124329,QB,16,0,0,15,20,51,16,35,S
0,167,,65.1,79.0,,61.6,,,65.1,67,0,Richie Leonard IV,124386,RG,0,32,0,0,29,61,32,29,S
0,176,,64.5,70.0,,,60.0,,64.6,17,0,Josh Beetham,129407,TE-L,0,0,1,0,8,9,1,8,P
0,167,65.5,59.5,68.4,,,,63.2,55.6,26,0,Caziah Holmes,129782,HB,0,0,0,2,2,4,0,4,P
0,167,61.0,58.0,77.3,,71.8,56.5,,58.6,84,0,Kyle Morlock,141472,TE-L,0,5,26,0,24,55,31,24,S
0,176,,60.7,71.0,,,,,61.1,04,0,Abdul Janneh Jr.,142437,RWR,0,0,0,0,8,8,0,8,P
0,167,,60.0,64.1,,,,,60.0,77,0,Bryson Estes,143878,LT,0,0,0,0,1,1,0,1,P
0,167,,63.5,70.4,,,57.1,,68.6,48,0,Jackson West,143900,TE-R,0,0,2,0,5,7,2,5,P
0,176,,59.4,73.3,,,59.1,,60.6,01,0,Leo Blackburn,143904,RWR,0,0,2,0,11,13,2,11,P
0,176,,60.4,0.0,,71.2,,,62.3,72,1,Weston Franklin,143913,C,0,16,0,0,36,52,16,36,S
0,176,,60.2,79.0,,71.8,,,58.5,67,0,Joe Fusile,143914,LG,0,16,0,0,36,52,16,36,S
0,176,73.6,71.2,77.0,,19.6,75.0,72.5,56.5,11,0,Jamal Haynes,143918,HB,0,2,12,11,13,38,14,24,S
0,176,66.5,70.8,77.7,,,72.3,63.2,48.3,08,0,Malik Rutherford,143929,SRWR,0,0,15,1,27,43,15,28,S
0,176,,58.6,74.0,,81.9,,,54.7,55,0,Corey Robinson II,144567,LT,0,8,0,0,20,28,8,20,P
0,176,,60.7,73.4,,65.5,,,59.1,71,0,Jordan Brown,145550,LT,0,8,0,0,16,24,8,16,S
0,176,61.9,59.2,68.5,,,60.0,,59.4,00,0,Christian Leary,146589,LWR,0,0,1,0,3,4,1,3,P
0,167,,53.1,77.2,,82.9,,,46.9,69,0,Terrence Ferguson II,146597,LG,0,18,0,0,15,33,18,15,P
0,167,62.5,61.7,72.0,,,53.6,63.7,56.0,86,0,Brian Courtney,156280,TE-R,0,0,5,1,10,16,5,11,P
0,176,62.5,67.4,63.6,,,,62.9,,05,0,Zach Pyron,156309,QB,0,0,0,1,0,1,0,1,P
0,167,67.3,77.6,69.4,,0.0,72.7,70.1,60.0,13,0,Jaylin Lucas,156396,HB,0,1,2,2,2,7,3,4,P
0,167,,60.0,65.1,,,,,60.0,S32,0,Mason Arnold,156489,,0,0,0,0,1,1,0,1,
0,176,,58.8,78.1,,27.8,,,60.6,77,0,Keylan Rutledge,156597,RG,0,16,0,0,36,52,16,36,S
0,167,67.3,63.0,77.4,,,62.8,,60.6,10,0,Malik Benson,169698,LWR,0,0,25,0,19,44,25,19,S
0,176,65.3,64.0,76.5,,,61.0,63.4,62.6,02,0,Eric Singleton Jr.,170078,LWR,0,0,15,1,25,41,15,26,S
0,167,,60.0,63.5,,,,,60.0,65,0,Andre Otto,170351,LT,0,0,0,0,1,1,0,1,P
0,167,,60.0,64.3,,,,,60.0,79,0,Lucas Simmons,170355,LT,0,0,0,0,1,1,0,1,P
0,167,62.9,58.4,77.4,,,58.1,,61.2,06,0,Jalen Brown,172471,RWR,0,0,23,0,18,41,23,18,S
0,176,71.3,68.9,73.0,,,59.1,68.0,59.2,27,0,Chad Alexander,175356,HB,0,0,2,7,5,14,2,12,P
0,176,,60.0,63.9,,,,,60.0,87,0,Bailey Stockton,175368,SRWR,0,0,0,0,1,1,0,1,P
0,167,62.5,55.3,71.4,,8.7,28.8,59.5,83.2,03,0,Kam Davis,183297,HB,0,2,5,1,4,12,7,5,P
0,167,,60.0,64.1,,,,,60.0,18,0,Landen Thomas,183310,TE-L,0,0,0,0,1,1,0,1,P
